Коллокация	Лемма	Неправильная 1	Неправильная 2	Неправильная 3	Неправильная 4
по мнению авторов	по мнение автор	по убеждение автор	по суждение автор	по мнение сочинитель	по мнение читатель
вовлеченности в игру	вовлеченность в игра	вовлечение в игра	мотивация в игра	вовлеченность в забава	вовлеченность в преферанс
развития народного хозяйства	развитие народный хозяйство	становление народный хозяйство	эволюция народный хозяйство	развитие общенародный хозяйство	развитие народный животноводство
по нашим подсчетам	по наш подсчет	по наш пересчет	по наш расчет	по наш вычисление	по наш начисление
в меньшей мере,	в меньший мера	в больший мера	в большой мера	в меньший степень	в меньший мероприятие
конструкция с лексемами,	конструкция с лексема	компоновка с лексема	каркас с лексема	конструкция с морфема	конструкция с семантика
в целях обеспечения,	в цель обеспечение	в задача обеспечение	в стремление обеспечение	в цель поддержание	в цель предоставление
составлять не менее,	составлять не менее	составить не менее	состоять не менее	составлять не более	составлять не достаточно
после окончания колледжа,	после окончание колледж	после завершение колледж	после начало колледж	после окончание техникум	после окончание университет
может быть интерпретирована,	мочь быть интерпретировать	хотеть быть интерпретировать	значить быть интерпретировать	мочь быть истолковывать	мочь быть воспринимать
в неизменном виде,	в неизменный вид	в одинаковый вид	в постоянный вид	в неизменный форма	в неизменный случай
в ряде языков,	в ряд язык	в множество язык	в десяток язык	в ряд диалект	в ряд грамматика
нашло свое отражение,	находить свой отражение	отыскивать свой отражение	искать свой отражение	находить свой воплощение	находить свой зеркало
эффективный обменный курс,	эффективный обменный курс	оптимальный обменный курс	эффективный выделительный курс	эффективный обменный лекция	эффективный обменный обучение
за рассматриваемый период,	за рассматривать период	за представлять период	за обсуждать период	за рассматривать эпоха	за рассматривать время
позволяет говорить о,	позволять говорить о	удаваться говорить о	мочь говорить о	позволять сказать о	позволять думать о
играть важную роль,	играть важный роль	сыграть важный роль	играть значимый роль	играть существенный роль	играть важный качество
проведенный анализ показал,	проводить анализ показывать	проходить анализ показывать	проводить исследование показывать	проводить моделирование показывать	проводить анализ демонстрировать
на национальном уровне,	на национальный уровень	на народный уровень	на региональный уровень	на национальный повышение	на национальный показатель
оказывает существенное влияние,	оказывать существенный влияние	испытывать существенный влияние	проявлять существенный влияние	оказывать значительный влияние	оказывать существенный воздействие
как нам представляется,	как мы представляться	как мы казаться	как мы являться	как мы оказываться	как мы показываться
средство выражение поссесивность,	средство выражение поссесивность	способ выражение поссесивность	цель выражение поссесивность	средство фраза поссесивность	средство высказывание поссесивность
по мнению родителей,	по мнение родитель	по убеждение родитель	по суждение родитель	по мнение мать	по мнение отца
принципы международного права,	принцип международный право	концепция международный право	идея международный право	принцип глобальный право	принцип международный свобода
как мы полагаем,	как мы полагать	как мы предполагать	как мы считать	как мы думать	как мы сомневаться
трудности в освоении,	трудность в освоение	сложность в освоение	препятствие в освоение	трудность в внедрение	трудность в разработка
диверсификация сельской экономики,	диверсификация сельский экономика	инвестиция сельский экономика	диверсификация деревенский экономика	диверсификация сельский отрасль	диверсификация сельский промышленность
начисленная заработная плата,	начислять заработный плата	засчитывать заработный плата	начислять прожиточный плата	начислять заработный оплата	начислять заработный зарплата
высокий уровень образования	высокий уровень образование	низкий уровень образование	высокий повышение образование	высокий уровень просвещение	высокий уровень воспитание
разных возрастных групп,	разный возрастной группа	различный возрастной группа	разный подростковый группа	разный возрастной группировка	разный возрастной коллектив
целью исследования является,	цель исследование являться	цель исследование являться	цель исследование являться	цель исследование являться	цель исследование являться
в различных странах,	в различный страна	в разный страна	в разнообразный страна	в различный государство	в различный регион
как показывает анализ,	как показывать анализ	как демонстрировать анализ	как указывать анализ	как показывать исследование	как показывать моделирование
минимальная заработная плата,	минимальный заработный плата	максимальный заработный плата	оптимальный заработный плата	минимальный прожиточный плата	минимальный заработный оплата
выглядит следующим образом,	выглядеть следующий образ	смотреться следующий образ	выглядеть последний образ	выглядеть следующий смысл	выглядеть следующий существо
в качестве предикторов,	в качество предиктор	в свойство предиктор	в роль предиктор	в характеристика предиктор	в способность предиктор
приведены данные о,	приводить данные о	вызывать данные о	влечь данные о	приводить сведение о	приводить информация о
финансовый анализ событий,	финансовый анализ событие	экономический анализ событие	финансовый исследование событие	финансовый моделирование событие	финансовый анализ происшествие
ударения на предлог,	ударение на предлог	слог на предлог	гласная на предлог	ударение на повод	ударение на местоимение
в конце предложения,	в конец предложение	в середина предложение	в начало предложение	в конец просьба	в конец приглашение
реальный сектор экономики,	реальный сектор экономика	конкретный сектор экономика	реальный отрасль экономика	реальный отдел экономика	реальный сектор промышленность
раннего железного века,	ранний железный век	поздний железный век	зрелый железный век	ранний стальной век	ранний железный столетие
нельзя не отметить,	нельзя не отмечать	можно не отмечать	надо не отмечать	нельзя не подчеркивать	нельзя не замечать
индекс потребительских цен,	индекс потребительский цена	коэффициент потребительский цена	показатель потребительский цена	индекс продовольственный цена	индекс потребительский стоимость
на территории субъекта,	на территория субъект	на район субъект	на регион субъект	на территория индивид	на территория индивидуум
валовой внутренний продукт,	валовой внутренний продукт	совокупный внутренний продукт	валовой внешний продукт	валовой внутренний сырье	валовой внутренний продукция
средств правовой защиты,	средство правовой защита	способ правовой защита	средство юридический защита	средство правовой охрана	средство правовой обеспечение
на глобальном уровне,	на глобальный уровень	на локальный уровень	на геополитический уровень	на глобальный макроуровень	на глобальный показатель
как упоминалось выше,	как упоминаться выше	как значиться выше	как фигурировать выше	как упоминаться высоко	как упоминаться низко
учебной деятельности школьников,	учебный деятельность школьник	образовательный деятельность школьник	учебный работа школьник	учебный активность школьник	учебный деятельность учащийся
оплаты труда педагогов,	оплата труд педагог	зарплата труд педагог	оплата работа педагог	оплата труд филолог	оплата труд преподаватель
учителей начальных классов,	учитель начальный класс	преподаватель начальный класс	учитель общеобразовательный класс	учитель средний класс	учитель начальный школа
реестр требований кредиторов,	реестр требование кредитор	регистр требование кредитор	реестр условие кредитор	реестр запрос кредитор	реестр требование инвестор
норм иностранного права,	норма иностранный право	правило иностранный право	стандарт иностранный право	норма зарубежный право	норма иностранный свобода
как отмечалось выше,	как отмечаться выше	как подчеркивать выше	как свидетельствовать выше	как отмечаться высоко	как отмечаться низко
административный порядок защиты,	административный порядок защита	судебный порядок защита	административный правило защита	административный закон защита	административный порядок охрана
с помощью суффикса,	с помощь суффикс	с содействие суффикс	с посредство суффикс	с помощь аффикс	с помощь флексия
развивающиеся рынки капитала,	развиваться рынок капитал	разрастаться рынок капитал	расти рынок капитал	развиваться биржа капитал	развиваться рынок актив
приведем некоторые примеры,	приводить некоторый пример	вызывать некоторый пример	приводить какой-либо пример	приводить некоторый образец	приводить некоторый факт
множественное число существительных,	множественный число существительное	винительный число существительное	множественный количество существительное	множественный большинство существительное	множественный число глагол
антикризисная финансовая диагностика,	антикризисный финансовый диагностика	инвестиционный финансовый диагностика	антикризисный экономический диагностика	антикризисный банковский диагностика	антикризисный финансовый профилактика
может быть представлено,	мочь быть представлять	хотеть быть представлять	уметь быть представлять	мочь быть рассматривать	мочь быть показывать
при помощи суффикса,	при помощь суффикс	при содействие суффикс	при посредство суффикс	при помощь аффикс	при помощь флексия
государственных гражданских служащих,	государственный гражданский служащий	правительственный гражданский служащий	общественный гражданский служащий	государственный военный служащий	государственный гражданский чиновник
по мнению говорящего,	по мнение говорящий	по убеждение говорящий	по суждение говорящий	по предположение говорящий	по мнение англоговорящий
насколько нам известно,	насколько мы известно	настолько мы известно	столь мы известно	насколько мы общеизвестно	насколько мы неизвестно
стандартная ошибка оценки,	стандартный ошибка оценка	обычный ошибка оценка	базовый ошибка оценка	стандартный неточность оценка	стандартный ошибка суждение 
конституционный судебный процесс,	конституционный судебный процесс	парламентский судебный процесс	конституционный уголовный процесс	конституционный судебный механизм	конституционный судебный процедура
расходование бюджетных средств,	расходование бюджетный средство	трата бюджетный средство	использование бюджетный средство	расходование налоговый средство	расходование бюджетный способ
организация потребительской кооперации,	организация потребительский кооперация	учреждение потребительский кооперация	объединение потребительский кооперация	организация потребительский партнерство	организация потребительский взаимопомощь
проекта федерального закона,	проект федеральный закон	программа федеральный закон	разработка федеральный закон	концепция федеральный закон	проект региональный закон
добыча полезных ископаемых,	добыча полезный ископаемое	выплавка полезный ископаемое	добыча необходимый ископаемое	добыча полезный месторождение	добыча полезный руда
по собственной инициативе,	по собственный инициатива	по чужой инициатива	по личный инициатива	по собственный начинание	по собственный решение
на мировой арене,	на мировой арена	на отечественный арена	на глобальный арена	на мировой сцена	на мировой площадка
нормативного правового регулирования,	нормативный правовой регулирование	законодательный правовой регулирование	нормативный юридический регулирование	нормативный правовой обеспечение	нормативный правовой контроль
можно перевести как,	можно перевести как	надо перевести как	нельзя перевести как	можно переводить как	можно зачислять как
экономическое развитие страны,	экономический развитие страна	финансовый развитие страна	социальный развитие страна	экономический становление страна	экономический развитие государство
нормативной модели развития,	нормативный модель развитие	правовой модель развитие	нормативный концепт развитие	нормативный схема развитие	нормативный модель прогресс
важно обратить внимание,	важно обращать внимание	мало обращать внимание	важно привлекать внимание	важно уделять внимание	важно обращать интерес
можно объяснить тем,	можно объяснять то	надо объяснять то	нельзя объяснять то	можно пояснять то	можно растолковывать то
кривая бескупонной доходности,	кривая бескупонный доходность	кривизна бескупонный доходность	кривая купонный доходность	кривая бескупонный цена 	кривая бескупонный рентабельность
в подавляющем большинстве,	в подавлять большинство	в сдерживать большинство	в уничтожать большинство	в подавлять число	в подавлять масса
не предусмотрено законом,	не предусматривать закон	не подразумевать закон	не обеспечивать закон	не предусматривать правило	не предусматривать принцип
общее собрание акционеров,	общий собрание акционер	единый собрание акционер	общий митинг акционер	общий съезд акционер	общий собрание инвестор
иметь тенденцию к,	иметь тенденция к	обладать тенденция к	нет тенденция к	иметь тред к	иметь направленность к
в зарубежной историографии,	в зарубежный историография	в иностранный историография	в заграничный историография	в зарубежный литература	в зарубежный публицистика
российский фондовый рынок,	российский фондовый рынок	русский фондовый рынок	советский фондовый рынок	российский межбанковский рынок	российский фондовый торговля
заработной платы педработников,	заработный плата педработник	прожиточный плата педработник	заработный оплата педработник	заработный выплата педработник	заработный плата работник
развитие человеческого капитала,	развитие человеческий капитал	совершенствование человеческий капитал	развитие людской капитал	развитие человеческий инвестиция	развитие человеческий актив
в ряд случаев,	в ряд случай	в множество случай	в череда случай	в ряд момент	в ряд обстоятельство
участников уголовного судопроизводства,	участник уголовный судопроизводство	организатор уголовный судопроизводство	участник судебный судопроизводство	участник следственный судопроизводство	участник уголовный законодательство
программ подготовки учителей,	программа подготовка учитель	проект подготовка учитель	план подготовка учитель	программа обучение учитель	программа подготовка преподаватель
континентальной системы права,	континентальный система право	материковый система право	континентальный механизм право	континентальный концепция право	континентальный система свобода
как показывает материал,	как показывать материал	как указывать материал	как доказывать материал	как показывать данные 	как показывать сырье
выборку исследования составили,	выборка исследование составлять	вычисление исследование составлять	выборка изучение составлять	выборка анализ составлять	выборка исследование исчислять
по всей вероятности,	по весь вероятность	по каждый вероятность	по весь риск	по весь шанс	по весь случай
как уже отмечалось,	как уже отмечаться	как еще отмечаться	как теперь отмечаться	как уже подчеркиваться	как уже наблюдаться
в настоящий момент,	в настоящий момент	в подлинный момент	в сегодняшний момент	в настоящий случай	в настоящий мгновенье
как показывать данные,	как показывать данные	как доказывать данные	как смотреть данные	как показывать сведение	как показывать информация
дополнительное профессиональное образование,	дополнительный профессиональный образование	добавочный профессиональный образование	недостающий профессиональный образование	дополнительный любительский образование	дополнительный профессиональный воспитание